identifier	page
NCBITaxon:1001992	taxa/bacteria/escherichia_coli_pcn097.html
NCBITaxon:1001994	taxa/archaea/nitrosarchaeum_koreense_my1.html
NCBITaxon:1002	taxa/bacteria/hugenholtzia_roseola.html
NCBITaxon:1002210	taxa/bacteria/uncultured_pelagicoccus_sp.html
NCBITaxon:1002220	taxa/bacteria/acetivibrio_alkalicellulosi_dsm_17461.html
NCBITaxon:1002227	taxa/bacteria/methylovorus_menthalis.html
NCBITaxon:100225	taxa/bacteria/austwickia_chelonae.html
NCBITaxon:100226	taxa/bacteria/streptomyces_coelicolor_a3_2.html
NCBITaxon:1002339	taxa/bacteria/psychrobacter_sp_1501_2011.html
NCBITaxon:1002340	taxa/bacteria/leisingera_sp_ang1.html
NCBITaxon:1002364	taxa/bacteria/hafnia_alvei_atcc_51873.html
NCBITaxon:1002365	taxa/bacteria/lacticaseibacillus_rhamnosus_atcc_21052.html
NCBITaxon:1002366	taxa/bacteria/listeria_innocua_atcc_33091.html
NCBITaxon:1002367	taxa/bacteria/leyella_stercorea_dsm_18206.html
NCBITaxon:1002368	taxa/bacteria/yokenella_regensburgei_atcc_43003.html
NCBITaxon:1002369	taxa/bacteria/clostridioides_difficile_70_100_2010.html
NCBITaxon:1002526	taxa/bacteria/halopseudomonas_formosensis.html
NCBITaxon:1002672	taxa/bacteria/candidatus_pelagibacter_sp_imcc9063.html
NCBITaxon:1002689	taxa/bacteria/occallatibacter_riparius.html
NCBITaxon:1002691	taxa/bacteria/occallatibacter_savannae.html
NCBITaxon:100272	taxa/eukaryota/uncultured_eukaryote.html
NCBITaxon:1002795	taxa/bacteria/pectinatus_sottacetonis.html
NCBITaxon:1002804	taxa/bacteria/helicobacter_bizzozeronii_ciii_1.html
NCBITaxon:1002805	taxa/bacteria/helicobacter_bizzozeronii_ccug_35545.html
NCBITaxon:1002809	taxa/bacteria/solibacillus_silvestris_stlb046.html
NCBITaxon:1002870	taxa/bacteria/gaiella_occulta.html
NCBITaxon:1003	taxa/bacteria/thermoflexibacter_ruber.html
NCBITaxon:1003031	taxa/eukaryota/cerataulina_pelagica.html
NCBITaxon:1003076	taxa/eukaryota/lithodesmium_intricatum.html
NCBITaxon:1003091	taxa/bacteria/methylobacterium_thuringiense.html
NCBITaxon:1003092	taxa/bacteria/methylobacterium_trifolii.html
NCBITaxon:1003110	taxa/bacteria/micromonospora_maris.html
NCBITaxon:1003114	taxa/bacteria/lysobacter_yananisis.html
NCBITaxon:1003181	taxa/bacteria/candidatus_thiomargarita_nelsonii.html
NCBITaxon:1003185	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_agona_str_sa_1.html
NCBITaxon:1003186	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_agona_str_sa_2.html
NCBITaxon:1003187	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_agona_str_sa_3.html
NCBITaxon:1003188	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_agona_str_sa_4.html
NCBITaxon:1003189	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_agona_str_sa_5.html
NCBITaxon:1003190	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_agona_str_sar_b1.html
NCBITaxon:1003191	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_tennessee_str_txsc_txsc08_19.html
NCBITaxon:1003192	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_tennessee_str_txsc_txsc08_21.html
NCBITaxon:1003195	taxa/bacteria/streptantibioticus_cattleyicolor_nrrl_8057_dsm_46488.html
NCBITaxon:1003200	taxa/bacteria/achromobacter_insuavis_axx_a.html
NCBITaxon:1003201	taxa/bacteria/rickettsia_typhi_str_th1527.html
NCBITaxon:1003202	taxa/bacteria/rickettsia_typhi_str_b9991cwpp.html
NCBITaxon:1003237	taxa/bacteria/nitrospirillum_viridazoti_y2.html
NCBITaxon:1003238	taxa/bacteria/chlamydia_abortus_llg.html
NCBITaxon:1003239	taxa/bacteria/bacillus_cereus_c1l.html
NCBITaxon:100367	taxa/eukaryota/leptographium_procerum.html
NCBITaxon:100379	taxa/bacteria/onion_yellows_phytoplasma.html
NCBITaxon:1003997	taxa/bacteria/paenalicyclobacillus_cellulosilyticus.html
