source_strain_id	source_deposit_id	accession	reason	value
straininfo.strain:4140	straininfo.deposit:214969		conflicting_bacdive_reference_not_used	bacdive:12863; deposit matches kgmicrobe.strain:bacdive_157435
straininfo.strain:41713	straininfo.deposit:112312		conflicting_bacdive_reference_not_used	bacdive:5889; deposit matches kgmicrobe.strain:bacdive_5910
straininfo.strain:41713	straininfo.deposit:153159		conflicting_bacdive_reference_not_used	bacdive:5889; deposit matches kgmicrobe.strain:bacdive_5890
straininfo.strain:41713	straininfo.deposit:153162		conflicting_bacdive_reference_not_used	bacdive:5889; deposit matches kgmicrobe.strain:bacdive_5890
straininfo.strain:41713	straininfo.deposit:153163		conflicting_bacdive_reference_not_used	bacdive:5889; deposit matches kgmicrobe.strain:bacdive_5890
straininfo.strain:41713	straininfo.deposit:156908		conflicting_bacdive_reference_not_used	bacdive:5889; deposit matches kgmicrobe.strain:bacdive_5910
straininfo.strain:41713	straininfo.deposit:802730		conflicting_bacdive_reference_not_used	bacdive:5889; deposit matches kgmicrobe.strain:bacdive_5910
straininfo.strain:41713	straininfo.deposit:903483		conflicting_bacdive_reference_not_used	bacdive:5889; deposit matches kgmicrobe.strain:bacdive_5890
straininfo.strain:419	straininfo.deposit:215119		conflicting_bacdive_reference_not_used	bacdive:13584; deposit matches kgmicrobe.strain:bacdive_157291
straininfo.strain:41963	straininfo.deposit:210355		conflicting_bacdive_reference_not_used	bacdive:11949; deposit matches kgmicrobe.strain:bacdive_131072
straininfo.strain:41963	straininfo.deposit:692142		conflicting_bacdive_reference_not_used	bacdive:11949; deposit matches kgmicrobe.strain:bacdive_131072
straininfo.strain:41965	straininfo.deposit:112936		conflicting_bacdive_reference_not_used	bacdive:16755; deposit matches kgmicrobe.strain:bacdive_151106
straininfo.strain:41965	straininfo.deposit:328438		conflicting_bacdive_reference_not_used	bacdive:16755; deposit matches kgmicrobe.strain:bacdive_151106
straininfo.strain:41988	straininfo.deposit:122967		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:122970		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:167677		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:167678		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:176129		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:176130		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:176132		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:230115		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:231093		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:333489		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:333490		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:41988	straininfo.deposit:99384		conflicting_bacdive_reference_not_used	bacdive:15423; deposit matches kgmicrobe.strain:bacdive_15424
straininfo.strain:4204	straininfo.deposit:160559		conflicting_bacdive_reference_not_used	bacdive:147038; deposit matches kgmicrobe.strain:bacdive_1916
straininfo.strain:4204	straininfo.deposit:18010		conflicting_bacdive_reference_not_used	bacdive:147038; deposit matches kgmicrobe.strain:bacdive_1916
straininfo.strain:42119	straininfo.deposit:113310		conflicting_bacdive_reference_not_used	bacdive:8402; deposit matches kgmicrobe.strain:bacdive_8500
straininfo.strain:42119	straininfo.deposit:113311		conflicting_bacdive_reference_not_used	bacdive:8402; deposit matches kgmicrobe.strain:bacdive_8500
straininfo.strain:42119	straininfo.deposit:139339		conflicting_bacdive_reference_not_used	bacdive:8402; deposit matches kgmicrobe.strain:bacdive_149400
straininfo.strain:42119	straininfo.deposit:153008		conflicting_bacdive_reference_not_used	bacdive:8402; deposit matches kgmicrobe.strain:bacdive_136782
straininfo.strain:42119	straininfo.deposit:169749		conflicting_bacdive_reference_not_used	bacdive:8402; deposit matches kgmicrobe.strain:bacdive_8500
straininfo.strain:4217	straininfo.deposit:538031		conflicting_bacdive_reference_not_used	bacdive:12871; deposit matches kgmicrobe.strain:bacdive_162768
straininfo.strain:4217	straininfo.deposit:745851		conflicting_bacdive_reference_not_used	bacdive:12871; deposit matches kgmicrobe.strain:bacdive_162768
straininfo.strain:42222	straininfo.deposit:118702		conflicting_bacdive_reference_not_used	bacdive:155687; deposit matches kgmicrobe.strain:bacdive_4902
straininfo.strain:42231	straininfo.deposit:113579		conflicting_bacdive_reference_not_used	bacdive:172444; deposit matches kgmicrobe.strain:bacdive_172567
straininfo.strain:4234	straininfo.deposit:161426		conflicting_bacdive_reference_not_used	bacdive:11356; deposit matches kgmicrobe.strain:bacdive_11357
straininfo.strain:4234	straininfo.deposit:18167		conflicting_bacdive_reference_not_used	bacdive:11356; deposit matches kgmicrobe.strain:bacdive_11357
straininfo.strain:4234	straininfo.deposit:18169		conflicting_bacdive_reference_not_used	bacdive:11356; deposit matches kgmicrobe.strain:bacdive_11357
straininfo.strain:4234	straininfo.deposit:18170		conflicting_bacdive_reference_not_used	bacdive:11356; deposit matches kgmicrobe.strain:bacdive_11357
straininfo.strain:4234	straininfo.deposit:99970		conflicting_bacdive_reference_not_used	bacdive:11356; deposit matches kgmicrobe.strain:bacdive_11357
straininfo.strain:42352	straininfo.deposit:105987		conflicting_bacdive_reference_not_used	bacdive:3051; deposit matches kgmicrobe.strain:bacdive_5423
straininfo.strain:42352	straininfo.deposit:158608		conflicting_bacdive_reference_not_used	bacdive:3051; deposit matches kgmicrobe.strain:bacdive_5423
straininfo.strain:42352	straininfo.deposit:158609		conflicting_bacdive_reference_not_used	bacdive:3051; deposit matches kgmicrobe.strain:bacdive_5423
straininfo.strain:42374	straininfo.deposit:159042		conflicting_bacdive_reference_not_used	bacdive:14604; deposit matches kgmicrobe.strain:bacdive_5941
straininfo.strain:42692	straininfo.deposit:114849		conflicting_bacdive_reference_not_used	bacdive:7834; deposit matches kgmicrobe.strain:bacdive_100174
straininfo.strain:42692	straininfo.deposit:114851		conflicting_bacdive_reference_not_used	bacdive:7834; deposit matches kgmicrobe.strain:bacdive_100174
straininfo.strain:42817	straininfo.deposit:162101		conflicting_bacdive_reference_not_used	bacdive:137169; deposit matches kgmicrobe.strain:bacdive_14618
