strain_id	assembly_id	source	source_id	source_reference_id	assembly_level	assembly_name	taxon_id	source_field	matched_strain_id	source_strain_identifiers	source_strain_field	source_organism_id	source_project_id	straininfo_evidence_json
kgmicrobe.strain:bacdive_16208	ncbi.assembly:GCA_003112595	STRAININFO	straininfo.strain:93024		scaffold	Streptomyces rubrogriseus NBRC 15455	NCBITaxon:194673	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-15455	NBRC 15455	deposits.designation			"{""deposit_designation"":""NBRC 15455"",""deposit_id"":""straininfo.deposit:335254"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:335254"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16208"",""strain_doi"":""DOI:10.60712/SI-ID93024.3"",""strain_id"":""straininfo.strain:93024"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16209	ncbi.assembly:GCA_000717995	STRAININFO	straininfo.strain:41992		contig	Streptomyces violaceorubidus NRRL B-16381	NCBITaxon:284042	strain.sequence.accessionNumber	kgmicrobe.strain:NRRL-B-16381	NRRL B-16381	deposits.designation			"{""deposit_designation"":""NRRL B-16381"",""deposit_id"":""straininfo.deposit:182615"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:182615"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16209"",""strain_doi"":""DOI:10.60712/SI-ID41992.3"",""strain_id"":""straininfo.strain:41992"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1621	ncbi.assembly:GCA_000375405	STRAININFO	straininfo.strain:323949		contig	Bacteroides propionicifaciens DSM 19291 = JCM 14649	NCBITaxon:392838	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-19291	DSM 19291	deposits.designation			"{""deposit_designation"":""DSM 19291"",""deposit_id"":""straininfo.deposit:766080"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:766080"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1621"",""strain_doi"":""DOI:10.60712/SI-ID323949.3"",""strain_id"":""straininfo.strain:323949"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1621	ncbi.assembly:GCA_000375405	STRAININFO	straininfo.strain:323949		contig	Bacteroides propionicifaciens DSM 19291 = JCM 14649	NCBITaxon:392838	strain.sequence.accessionNumber	kgmicrobe.strain:JCM-14649	JCM 14649	deposits.designation			"{""deposit_designation"":""JCM 14649"",""deposit_id"":""straininfo.deposit:766081"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:766081"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1621"",""strain_doi"":""DOI:10.60712/SI-ID323949.3"",""strain_id"":""straininfo.strain:323949"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1621	ncbi.assembly:GCA_000613745	STRAININFO	straininfo.strain:323949		contig	Bacteroides propionicifaciens DSM 19291 = JCM 14649	NCBITaxon:392838	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-19291	DSM 19291	deposits.designation			"{""deposit_designation"":""DSM 19291"",""deposit_id"":""straininfo.deposit:766080"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:766080"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1621"",""strain_doi"":""DOI:10.60712/SI-ID323949.3"",""strain_id"":""straininfo.strain:323949"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1621	ncbi.assembly:GCA_000613745	STRAININFO	straininfo.strain:323949		contig	Bacteroides propionicifaciens DSM 19291 = JCM 14649	NCBITaxon:392838	strain.sequence.accessionNumber	kgmicrobe.strain:JCM-14649	JCM 14649	deposits.designation			"{""deposit_designation"":""JCM 14649"",""deposit_id"":""straininfo.deposit:766081"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:766081"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1621"",""strain_doi"":""DOI:10.60712/SI-ID323949.3"",""strain_id"":""straininfo.strain:323949"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16210	ncbi.assembly:GCA_000725785	STRAININFO	straininfo.strain:46063		scaffold	Streptomyces flavovariabilis NRRL B-16367	NCBITaxon:284031	strain.sequence.accessionNumber	kgmicrobe.strain:NRRL-B-16367	NRRL B-16367	deposits.designation			"{""deposit_designation"":""NRRL B-16367"",""deposit_id"":""straininfo.deposit:167106"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:167106"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16210"",""strain_doi"":""DOI:10.60712/SI-ID46063.3"",""strain_id"":""straininfo.strain:46063"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16211	ncbi.assembly:GCA_014654675	STRAININFO	straininfo.strain:44726		scaffold	Streptomyces spiralis JCM 3302	NCBITaxon:66376	strain.sequence.accessionNumber	kgmicrobe.strain:JCM-3302	JCM 3302	deposits.designation			"{""deposit_designation"":""JCM 3302"",""deposit_id"":""straininfo.deposit:168820"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:168820"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16211"",""strain_doi"":""DOI:10.60712/SI-ID44726.3"",""strain_id"":""straininfo.strain:44726"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16214	ncbi.assembly:GCA_000009765	STRAININFO	straininfo.strain:39972		complete	Streptomyces avermitilis MA-4680 = NBRC 14893	NCBITaxon:33903	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-14893	NBRC 14893	deposits.designation			"{""deposit_designation"":""NBRC 14893"",""deposit_id"":""straininfo.deposit:334923"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:334923"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16214"",""strain_doi"":""DOI:10.60712/SI-ID39972.3"",""strain_id"":""straininfo.strain:39972"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16214	ncbi.assembly:GCA_000764715	STRAININFO	straininfo.strain:39972		scaffold	Streptomyces avermitilis MA-4680 = NBRC 14893	NCBITaxon:33903	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-14893	NBRC 14893	deposits.designation			"{""deposit_designation"":""NBRC 14893"",""deposit_id"":""straininfo.deposit:334923"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:334923"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16214"",""strain_doi"":""DOI:10.60712/SI-ID39972.3"",""strain_id"":""straininfo.strain:39972"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16214	ncbi.assembly:GCA_000968255	STRAININFO	straininfo.strain:39972		scaffold	Streptomyces avermitilis MA-4680 = NBRC 14893	NCBITaxon:33903	strain.sequence.accessionNumber	kgmicrobe.strain:NBRC-14893	NBRC 14893	deposits.designation			"{""deposit_designation"":""NBRC 14893"",""deposit_id"":""straininfo.deposit:334923"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:334923"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16214"",""strain_doi"":""DOI:10.60712/SI-ID39972.3"",""strain_id"":""straininfo.strain:39972"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_16214	ncbi.assembly:GCA_001514135	STRAININFO	straininfo.strain:39972		scaffold	Streptomyces avermitilis DSM 46492	NCBITaxon:33903	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-46492	DSM 46492	deposits.designation			"{""deposit_designation"":""DSM 46492"",""deposit_id"":""straininfo.deposit:847912"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:847912"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:16214"",""strain_doi"":""DOI:10.60712/SI-ID39972.3"",""strain_id"":""straininfo.strain:39972"",""strain_status"":""published online""}"
