kind	id	reason
attested_taxon	NCBITaxon:1311788	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1313265	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1313292	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1316583	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1330037	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1330039	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1330047	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1331660	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1332080	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1336249	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1343161	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:134962	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1349774	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1349793	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1354732	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1357276	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:136160	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:137779	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1387231	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1393736	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1398496	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:140100	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1408434	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1415630	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1417988	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1418105	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:141951	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1441714	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1447087	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1454002	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1454004	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1460691	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1462526	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1462558	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1462563	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1463867	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1463873	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1468409	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:147448	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:147449	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:147467	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1476577	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:147810	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1490225	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1492281	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1502723	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1510391	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1520580	not in pinned NCBI taxonomy; retained in source inventory
