strain_id	taxon_ids
kgmicrobe.strain:ACM-5093	NCBITaxon:53573
kgmicrobe.strain:ACM-5096	NCBITaxon:57001
kgmicrobe.strain:ACM-5097	NCBITaxon:57002
kgmicrobe.strain:ACM-5098	NCBITaxon:57003
kgmicrobe.strain:ACM-5099	NCBITaxon:57000
kgmicrobe.strain:ACM-5116	NCBITaxon:99481
kgmicrobe.strain:ACM-5117	NCBITaxon:99480
kgmicrobe.strain:ACM-5118	NCBITaxon:99480
kgmicrobe.strain:ACM-5119	NCBITaxon:1123357
kgmicrobe.strain:ACM-5120	NCBITaxon:99117
kgmicrobe.strain:ACM-5121	NCBITaxon:81499
kgmicrobe.strain:ACM-5172	NCBITaxon:126350
kgmicrobe.strain:ACM-5173	NCBITaxon:200905
kgmicrobe.strain:ACM-5174	NCBITaxon:126348
kgmicrobe.strain:ACM-5210	NCBITaxon:1122960
kgmicrobe.strain:ACM-5223	NCBITaxon:248039
kgmicrobe.strain:ACM-5227	NCBITaxon:1132509
kgmicrobe.strain:ACM-5285	NCBITaxon:648755
kgmicrobe.strain:ACM-5286	NCBITaxon:648754
kgmicrobe.strain:ACM-5287	NCBITaxon:648753
kgmicrobe.strain:ACM-5288	NCBITaxon:648752
kgmicrobe.strain:ACM-5289	NCBITaxon:648751
kgmicrobe.strain:ACM-5300	NCBITaxon:1229493
kgmicrobe.strain:ACM-886	NCBITaxon:1123034
kgmicrobe.strain:ACOI-3416	NCBITaxon:2815231
kgmicrobe.strain:ADV-04-01	NCBITaxon:888062
kgmicrobe.strain:ADV-04.01	NCBITaxon:888062
kgmicrobe.strain:ADV-07/08/06-B-1388	NCBITaxon:620903
kgmicrobe.strain:ADV-1053.03	NCBITaxon:308994
kgmicrobe.strain:ADV-12/01/04-B-1195	NCBITaxon:620903
kgmicrobe.strain:ADV-126	NCBITaxon:885272
kgmicrobe.strain:ADV-2216-03	NCBITaxon:187328
kgmicrobe.strain:ADV-255.99	NCBITaxon:1120921
kgmicrobe.strain:ADV-281.99	NCBITaxon:1123490
kgmicrobe.strain:ADV-31	NCBITaxon:370111
kgmicrobe.strain:ADV-3202.03	NCBITaxon:308994
kgmicrobe.strain:ADV-4313.2	NCBITaxon:1502943
kgmicrobe.strain:ADV-499	NCBITaxon:386414
kgmicrobe.strain:AFM-10111	NCBITaxon:486505
kgmicrobe.strain:AFM-10238	NCBITaxon:1431848
kgmicrobe.strain:AFM-10251	NCBITaxon:1348092
kgmicrobe.strain:AFM-10258	NCBITaxon:1352928
kgmicrobe.strain:AFPC-000207	NCBITaxon:1487726
kgmicrobe.strain:AFPC-000227	NCBITaxon:1487726
kgmicrobe.strain:AHL-370-1	NCBITaxon:1712031
kgmicrobe.strain:AHN-10371	NCBITaxon:997353
kgmicrobe.strain:AHN-2437	NCBITaxon:679935
kgmicrobe.strain:AHN-4309	NCBITaxon:1236520
kgmicrobe.strain:AHN-4364	NCBITaxon:1305618
kgmicrobe.strain:AHN-8471	NCBITaxon:327574
kgmicrobe.strain:AHN-8855	NCBITaxon:327575
kgmicrobe.strain:AHT-1	NCBITaxon:555088
kgmicrobe.strain:AHT-10	NCBITaxon:617000
kgmicrobe.strain:AHT-11	NCBITaxon:682562
kgmicrobe.strain:AHT-16	NCBITaxon:2699832
kgmicrobe.strain:AHT-17	NCBITaxon:622674
kgmicrobe.strain:AHT-2	NCBITaxon:589865
kgmicrobe.strain:AHT-22	NCBITaxon:698827
kgmicrobe.strain:AHT-28	NCBITaxon:766136
kgmicrobe.strain:AHT-3	NCBITaxon:723921
kgmicrobe.strain:AHT-6	NCBITaxon:488938
kgmicrobe.strain:AHT-9	NCBITaxon:617000
kgmicrobe.strain:AHU-1037	NCBITaxon:1423
kgmicrobe.strain:AHU-1038	NCBITaxon:96241
kgmicrobe.strain:AHU-1392	NCBITaxon:1349794
kgmicrobe.strain:AHU-1393	NCBITaxon:1349794
kgmicrobe.strain:AHU-1413	NCBITaxon:337330
kgmicrobe.strain:AHU-1734	NCBITaxon:148604
kgmicrobe.strain:AHU-1735	NCBITaxon:148604
kgmicrobe.strain:AHU-1736	NCBITaxon:148604
kgmicrobe.strain:AHU-1737	NCBITaxon:148604
kgmicrobe.strain:AHU-1738	NCBITaxon:148604
kgmicrobe.strain:AHU-1762	NCBITaxon:1122147
kgmicrobe.strain:AHU-1763	NCBITaxon:1121021
kgmicrobe.strain:AHU-1791	NCBITaxon:1121924
kgmicrobe.strain:AHU-1821	NCBITaxon:1448389
kgmicrobe.strain:AIM-0373	NCBITaxon:1520583
kgmicrobe.strain:AIP-10068	NCBITaxon:1502
kgmicrobe.strain:AIP-10088	NCBITaxon:1509
kgmicrobe.strain:AIP-10100	NCBITaxon:1064535
kgmicrobe.strain:AIP-10109	NCBITaxon:868129
kgmicrobe.strain:AIP-10111	NCBITaxon:1122981
kgmicrobe.strain:AIP-10115	NCBITaxon:28135
kgmicrobe.strain:AIP-10141	NCBITaxon:428126
kgmicrobe.strain:AIP-10201	NCBITaxon:1502
kgmicrobe.strain:AIP-10202	NCBITaxon:887325
kgmicrobe.strain:AIP-10205	NCBITaxon:553174
kgmicrobe.strain:AIP-10216	NCBITaxon:1128111
kgmicrobe.strain:AIP-10217	NCBITaxon:103891
kgmicrobe.strain:AIP-10219	NCBITaxon:103892
kgmicrobe.strain:AIP-10220	NCBITaxon:248316
kgmicrobe.strain:AIP-10221	NCBITaxon:546273
kgmicrobe.strain:AIP-10223	NCBITaxon:411490
kgmicrobe.strain:AIP-10224	NCBITaxon:566550
kgmicrobe.strain:AIP-10225	NCBITaxon:411902
kgmicrobe.strain:AIP-104.00	NCBITaxon:1516
kgmicrobe.strain:AIP-126-04	NCBITaxon:308994
kgmicrobe.strain:AIP-130.05	NCBITaxon:583358
kgmicrobe.strain:AIP-136.05	NCBITaxon:885272
kgmicrobe.strain:AIP-149.07	NCBITaxon:620903
kgmicrobe.strain:AIP-150.07	NCBITaxon:620903
kgmicrobe.strain:AIP-163-03	NCBITaxon:187328
kgmicrobe.strain:AIP-220.04	NCBITaxon:371674
kgmicrobe.strain:AIP-25-04	NCBITaxon:888062
kgmicrobe.strain:AIP-25.04	NCBITaxon:888062
kgmicrobe.strain:AIP-26-04	NCBITaxon:308994
kgmicrobe.strain:AIP-26.04	NCBITaxon:308994
kgmicrobe.strain:AIP-261-03	NCBITaxon:425941
kgmicrobe.strain:AIP-261.03	NCBITaxon:425941
kgmicrobe.strain:AIP-268.01	NCBITaxon:689904
kgmicrobe.strain:AIP-278-05	NCBITaxon:137838
kgmicrobe.strain:AIP-283.01	NCBITaxon:1120921
kgmicrobe.strain:AIP-299.01	NCBITaxon:1123490
kgmicrobe.strain:AIP-313-00	NCBITaxon:156456
kgmicrobe.strain:AIP-354-02	NCBITaxon:237576
kgmicrobe.strain:AIP-412.00	NCBITaxon:187326
kgmicrobe.strain:AIP-431-03	NCBITaxon:291615
kgmicrobe.strain:AIP-504-99	NCBITaxon:291615
kgmicrobe.strain:AIP-505-99	NCBITaxon:291615
kgmicrobe.strain:AIP-518-78	NCBITaxon:2053611
kgmicrobe.strain:AIP-667-76	NCBITaxon:1502
kgmicrobe.strain:AIP-98-04	NCBITaxon:1525
kgmicrobe.strain:AJ-1015	NCBITaxon:47846
kgmicrobe.strain:AJ-110011	NCBITaxon:215803
kgmicrobe.strain:AJ-110013	NCBITaxon:215803
kgmicrobe.strain:AJ-12308	NCBITaxon:152794
kgmicrobe.strain:AJ-12309	NCBITaxon:152794
kgmicrobe.strain:AJ-12310	NCBITaxon:196164
kgmicrobe.strain:AJ-12372	NCBITaxon:33
kgmicrobe.strain:AJ-12373	NCBITaxon:33
kgmicrobe.strain:AJ-12374	NCBITaxon:33
kgmicrobe.strain:AJ-12375	NCBITaxon:83456
kgmicrobe.strain:AJ-12376	NCBITaxon:83455
kgmicrobe.strain:AJ-12377	NCBITaxon:83455
kgmicrobe.strain:AJ-12378	NCBITaxon:33
kgmicrobe.strain:AJ-12379	NCBITaxon:33
kgmicrobe.strain:AJ-12380	NCBITaxon:33
kgmicrobe.strain:AJ-12381	NCBITaxon:33
kgmicrobe.strain:AJ-12382	NCBITaxon:33
kgmicrobe.strain:AJ-12383	NCBITaxon:33
kgmicrobe.strain:AJ-12385	NCBITaxon:33
kgmicrobe.strain:AJ-12386	NCBITaxon:33
kgmicrobe.strain:AJ-12387	NCBITaxon:184914
kgmicrobe.strain:AJ-12388	NCBITaxon:33
kgmicrobe.strain:AJ-12389	NCBITaxon:83456
kgmicrobe.strain:AJ-12390	NCBITaxon:33
kgmicrobe.strain:AJ-12391	NCBITaxon:83456
kgmicrobe.strain:AJ-12392	NCBITaxon:83456
kgmicrobe.strain:AJ-12393	NCBITaxon:33
kgmicrobe.strain:AJ-12395	NCBITaxon:83456
kgmicrobe.strain:AJ-13070	NCBITaxon:69284
kgmicrobe.strain:AJ-13393	NCBITaxon:191768
kgmicrobe.strain:AJ-13395	NCBITaxon:502025
kgmicrobe.strain:AJ-13480	NCBITaxon:1123227
kgmicrobe.strain:AJ-13914	NCBITaxon:162028
kgmicrobe.strain:AJ-13960	NCBITaxon:191768
kgmicrobe.strain:AJ-1443	NCBITaxon:649754
kgmicrobe.strain:AJ-1472	NCBITaxon:2036
kgmicrobe.strain:AJ-2066	NCBITaxon:587753
kgmicrobe.strain:AJ-2067	NCBITaxon:751586
kgmicrobe.strain:AJ-2089	NCBITaxon:294
kgmicrobe.strain:AJ-2115	NCBITaxon:287
kgmicrobe.strain:AJ-2124	NCBITaxon:1215117
kgmicrobe.strain:AJ-2125	NCBITaxon:47880
kgmicrobe.strain:AJ-2127	NCBITaxon:1215098
kgmicrobe.strain:AJ-2129	NCBITaxon:1215114
kgmicrobe.strain:AJ-2173	NCBITaxon:1215094
kgmicrobe.strain:AJ-2197	NCBITaxon:1215113
kgmicrobe.strain:AJ-2219	NCBITaxon:1215102
kgmicrobe.strain:AJ-2258	NCBITaxon:62322
kgmicrobe.strain:AJ-2265	NCBITaxon:48076
kgmicrobe.strain:AJ-2282	NCBITaxon:1215112
kgmicrobe.strain:AJ-2404	NCBITaxon:292
kgmicrobe.strain:AJ-2458	NCBITaxon:28454
kgmicrobe.strain:AJ-2502	NCBITaxon:34086
kgmicrobe.strain:AJ-2515	NCBITaxon:34086
kgmicrobe.strain:AJ-2517	NCBITaxon:1216967
kgmicrobe.strain:AJ-261	NCBITaxon:438744
kgmicrobe.strain:AJ-2716	NCBITaxon:1219360
kgmicrobe.strain:AJ-275	NCBITaxon:416872
kgmicrobe.strain:AJ-282	NCBITaxon:416873
kgmicrobe.strain:AJ-430827	NCBITaxon:198480
kgmicrobe.strain:AKS-1	NCBITaxon:388950
kgmicrobe.strain:AKS-432	NCBITaxon:342955
kgmicrobe.strain:AKU-0672	NCBITaxon:1871614
kgmicrobe.strain:AKU-1044	NCBITaxon:86185
kgmicrobe.strain:ALA-10B2	NCBITaxon:393664
kgmicrobe.strain:ALCO-1	NCBITaxon:469656
