lpsn_id	name	rank	authority	url	deprecated	status	validly_published	legitimate	is_correct_name	parent_lpsn_id	ncbitaxon_ids	gtdb_ids	type_strain_ids	synonym_of	publications	sequence_accessions
lpsn:793281	Aestuariivita atlantica	SPECIES	Li et al. 2015	https://lpsn.dsmz.de/species/aestuariivita-atlantica	1	legitimate=True; validly published under the ICNP; synonym	1	1	0	lpsn:518610			kgmicrobe.strain:KCTC-42276	lpsn:798750	PMID:26297013|doi:10.1099/ijsem.0.000406|doi:10.1099/ijsem.0.000745	INSDC:KP742981
lpsn:793282	Algimonas arctica	SPECIES	Liu et al. 2015	https://lpsn.dsmz.de/species/algimonas-arctica	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518292	NCBITaxon:1479486		kgmicrobe.strain:KCTC-32513		PMID:26296764|doi:10.1099/ijsem.0.000402|doi:10.1099/ijsem.0.000745	INSDC:KJ144186
lpsn:793283	Bartonella ancashensis	SPECIES	Mullins et al. 2015	https://lpsn.dsmz.de/species/bartonella-ancashensis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515225	NCBITaxon:1318743	GTDB:s__Bartonella_ancashensis	kgmicrobe.strain:ATCC-BAA-2694|kgmicrobe.strain:DSM-29364		PMID:26296673|doi:10.1099/ijsem.0.000416|doi:10.1099/ijsem.0.000745	INSDC:KP720643
lpsn:793284	Verticiella sediminum	SPECIES	(Zhang et al. 2014) Vandamme 2016	https://lpsn.dsmz.de/species/verticiella-sediminum	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:519101	NCBITaxon:1247510	GTDB:s__Verticiella_sediminum	kgmicrobe.strain:DSM-27279|kgmicrobe.strain:JCM-19223		PMID:27599730|doi:10.1099/ijsem.0.001477|doi:10.1099/ijsem.0.001834	INSDC:KC986352
lpsn:793285	Bordetella bronchialis	SPECIES	Vandamme et al. 2015	https://lpsn.dsmz.de/species/bordetella-bronchialis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:516980	NCBITaxon:463025		kgmicrobe.strain:CCUG-56828|kgmicrobe.strain:LMG-28640		PMID:26220296|doi:10.1099/ijsem.0.000473|doi:10.1099/ijsem.0.000745	INSDC:EU082135
lpsn:793286	Bordetella sputigena	SPECIES	Vandamme et al. 2015	https://lpsn.dsmz.de/species/bordetella-sputigena	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:516980	NCBITaxon:1416810		kgmicrobe.strain:CCUG-56478|kgmicrobe.strain:LMG-28641		PMID:26220296|doi:10.1099/ijsem.0.000473|doi:10.1099/ijsem.0.000745	INSDC:KF601914
lpsn:793287	Bordetella flabilis	SPECIES	Vandamme et al. 2015	https://lpsn.dsmz.de/species/bordetella-flabilis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:516980	NCBITaxon:463014		kgmicrobe.strain:CCUG-56827|kgmicrobe.strain:LMG-28642		PMID:26220296|doi:10.1099/ijsem.0.000473|doi:10.1099/ijsem.0.000745	INSDC:EU082162
lpsn:793288	Baia soyae	SPECIES	Guan et al. 2015	https://lpsn.dsmz.de/species/baia-soyae	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518795	NCBITaxon:1544746	GTDB:s__Baia_soyae	kgmicrobe.strain:DSM-46831		PMID:26227993|doi:10.1099/ijsem.0.000485|doi:10.1099/ijsem.0.000745	INSDC:KM359702
lpsn:793289	Alteromonas confluentis	SPECIES	Park et al. 2015	https://lpsn.dsmz.de/species/alteromonas-confluentis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515095	NCBITaxon:1656094	GTDB:s__Alteromonas_confluentis	kgmicrobe.strain:KCTC-42603		PMID:26296901|doi:10.1099/ijsem.0.000457|doi:10.1099/ijsem.0.000745	INSDC:KR094792
lpsn:793290	Aquabacterium olei	SPECIES	Pham et al. 2015	https://lpsn.dsmz.de/species/aquabacterium-olei	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515155	NCBITaxon:1296669	GTDB:s__Aquabacterium_olei	kgmicrobe.strain:NBRC-110486		PMID:26297008|doi:10.1099/ijsem.0.000458|doi:10.1099/ijsem.0.000745	INSDC:KC424519
lpsn:793291	Anaerobium acetethylicum	SPECIES	Patil et al. 2015	https://lpsn.dsmz.de/species/anaerobium-acetethylicum	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518796	NCBITaxon:1619234	GTDB:s__Anaerobium_acetethylicum	kgmicrobe.strain:DSM-29698|kgmicrobe.strain:KCTC-15450|kgmicrobe.strain:LMG-28619		PMID:26297346|doi:10.1099/ijsem.0.000410|doi:10.1099/ijsem.0.000745	INSDC:KP233894
lpsn:793292	Ursidibacter maritimus	SPECIES	Hansen et al. 2015	https://lpsn.dsmz.de/species/ursidibacter-maritimus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518797	NCBITaxon:1331689	GTDB:s__Ursidibacter_maritimus	kgmicrobe.strain:CCUG-65144|kgmicrobe.strain:DSM-28137		PMID:26220443|doi:10.1099/ijsem.0.000476|doi:10.1099/ijsem.0.000745	INSDC:KJ632968
lpsn:793293	Ursidibacter arcticus	SPECIES	Hansen et al. 2015	https://lpsn.dsmz.de/species/ursidibacter-arcticus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518797	NCBITaxon:1524965	GTDB:s__Ursidibacter_arcticus	kgmicrobe.strain:CCUG-65145|kgmicrobe.strain:DSM-28138		PMID:26220443|doi:10.1099/ijsem.0.000476|doi:10.1099/ijsem.0.000745	INSDC:KJ632969
lpsn:793294	Terriglobus albidus	SPECIES	Pascual et al. 2015	https://lpsn.dsmz.de/species/terriglobus-albidus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516753	NCBITaxon:1592106	GTDB:s__Terriglobus_albidus	kgmicrobe.strain:DSM-26559|kgmicrobe.strain:LMG-27984		PMID:26297491|doi:10.1099/ijsem.0.000411|doi:10.1099/ijsem.0.000745	INSDC:KP334258
lpsn:793295	Terasakiispira papahanaumokuakeensis	SPECIES	Zepeda et al. 2015	https://lpsn.dsmz.de/species/terasakiispira-papahanaumokuakeensis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518798	NCBITaxon:197479	GTDB:s__Terasakiispira_papahanaumokuakeensis	kgmicrobe.strain:ATCC-BAA-995|kgmicrobe.strain:DSM-16455|kgmicrobe.strain:DSM-23961		PMID:26297573|doi:10.1099/ijsem.0.000438|doi:10.1099/ijsem.0.000745	INSDC:AF513467
lpsn:793296	Tenggerimyces mesophilus	SPECIES	Sun et al. 2015	https://lpsn.dsmz.de/species/tenggerimyces-mesophilus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518799	NCBITaxon:1730245		kgmicrobe.strain:DSM-45829|kgmicrobe.strain:NBRC-109454		PMID:26297147|doi:10.1099/ijsem.0.000421|doi:10.1099/ijsem.0.000745	INSDC:KP284443
