old_taxon_id	current_taxon_id
NCBITaxon:100635	NCBITaxon:152338
NCBITaxon:100641	NCBITaxon:254252
NCBITaxon:1006445	NCBITaxon:83184
NCBITaxon:1006446	NCBITaxon:83184
NCBITaxon:1006454	NCBITaxon:1006455
NCBITaxon:1006458	NCBITaxon:1006459
NCBITaxon:1006468	NCBITaxon:3073429
NCBITaxon:1006472	NCBITaxon:234845
NCBITaxon:1006488	NCBITaxon:2721545
NCBITaxon:1006497	NCBITaxon:1070816
NCBITaxon:1006498	NCBITaxon:1071028
NCBITaxon:1006499	NCBITaxon:1069548
NCBITaxon:1006500	NCBITaxon:1070527
NCBITaxon:1006501	NCBITaxon:1070833
NCBITaxon:1006502	NCBITaxon:1070697
NCBITaxon:1006503	NCBITaxon:1070835
NCBITaxon:1006504	NCBITaxon:1070675
NCBITaxon:1006505	NCBITaxon:1070689
NCBITaxon:1006506	NCBITaxon:1070684
NCBITaxon:1006508	NCBITaxon:1068955
NCBITaxon:1006509	NCBITaxon:1071029
NCBITaxon:1006510	NCBITaxon:1070690
NCBITaxon:1006511	NCBITaxon:1070811
NCBITaxon:1006512	NCBITaxon:1070801
NCBITaxon:1006513	NCBITaxon:1035696
NCBITaxon:1006514	NCBITaxon:1071031
NCBITaxon:1006515	NCBITaxon:1070530
NCBITaxon:1006516	NCBITaxon:1070676
NCBITaxon:1006517	NCBITaxon:1070529
NCBITaxon:1006518	NCBITaxon:1070683
NCBITaxon:1006519	NCBITaxon:1071024
NCBITaxon:1006520	NCBITaxon:1071023
NCBITaxon:1006521	NCBITaxon:1070531
NCBITaxon:1006522	NCBITaxon:1070812
NCBITaxon:1006523	NCBITaxon:1069546
NCBITaxon:1006524	NCBITaxon:1071027
NCBITaxon:1006525	NCBITaxon:1070810
NCBITaxon:1006526	NCBITaxon:1070813
NCBITaxon:1006527	NCBITaxon:1071025
NCBITaxon:1006528	NCBITaxon:1070698
NCBITaxon:1006529	NCBITaxon:1071026
NCBITaxon:1006532	NCBITaxon:1070836
NCBITaxon:1006533	NCBITaxon:1070831
NCBITaxon:1006534	NCBITaxon:1070834
NCBITaxon:1006536	NCBITaxon:1070682
NCBITaxon:1006537	NCBITaxon:1070687
NCBITaxon:1006538	NCBITaxon:1070740
NCBITaxon:1006539	NCBITaxon:1070830
NCBITaxon:1006540	NCBITaxon:1069547
NCBITaxon:1006552	NCBITaxon:940265
NCBITaxon:1006579	NCBITaxon:3026968
NCBITaxon:1006582	NCBITaxon:663
NCBITaxon:1006595	NCBITaxon:694357
NCBITaxon:1006603	NCBITaxon:158395
NCBITaxon:1006605	NCBITaxon:163261
NCBITaxon:1006607	NCBITaxon:38206
NCBITaxon:1006614	NCBITaxon:38220
NCBITaxon:1006615	NCBITaxon:38220
NCBITaxon:1006625	NCBITaxon:1454349
NCBITaxon:1006629	NCBITaxon:79047
NCBITaxon:1006630	NCBITaxon:79047
NCBITaxon:1006631	NCBITaxon:79047
NCBITaxon:1006632	NCBITaxon:154725
NCBITaxon:1006636	NCBITaxon:154667
NCBITaxon:1006637	NCBITaxon:125106
NCBITaxon:1006638	NCBITaxon:125106
NCBITaxon:1006639	NCBITaxon:426906
NCBITaxon:1006645	NCBITaxon:154667
