taxon_id	assertion_count
NCBITaxon:1015	5
NCBITaxon:101510	8
NCBITaxon:101534	2
NCBITaxon:101564	4
NCBITaxon:101571	2
NCBITaxon:101689	5
NCBITaxon:1016998	7
NCBITaxon:1017	3
NCBITaxon:1017018	4
NCBITaxon:1017021	6
NCBITaxon:1017022	5
NCBITaxon:1017023	1
NCBITaxon:1017024	1
NCBITaxon:1017025	1
NCBITaxon:1017026	4
NCBITaxon:1017027	1
NCBITaxon:1017028	1
NCBITaxon:1017029	1
NCBITaxon:1017030	1
NCBITaxon:1017095	6
NCBITaxon:1017177	10
NCBITaxon:1017181	9
NCBITaxon:1017184	12
NCBITaxon:1017264	4
NCBITaxon:1017265	4
NCBITaxon:1017266	4
NCBITaxon:1017273	4
NCBITaxon:1017351	11
NCBITaxon:1018	4
NCBITaxon:1019	4
NCBITaxon:102	3
NCBITaxon:102109	3
NCBITaxon:102116	3
NCBITaxon:102125	4
NCBITaxon:102127	1
NCBITaxon:102129	7
NCBITaxon:102134	3
NCBITaxon:102148	3
NCBITaxon:102170	1
NCBITaxon:1022	3
NCBITaxon:102226	1
NCBITaxon:102227	2
NCBITaxon:102232	3
NCBITaxon:102235	3
NCBITaxon:1025	2
NCBITaxon:1026	1
NCBITaxon:102608	5
NCBITaxon:102616	1
NCBITaxon:102617	5
NCBITaxon:102618	5
NCBITaxon:102619	4
NCBITaxon:102684	5
NCBITaxon:1026882	3
NCBITaxon:1027	2
NCBITaxon:1027249	16
NCBITaxon:1027273	22
NCBITaxon:1027292	1
NCBITaxon:1027360	4
NCBITaxon:1027364	5
NCBITaxon:1027371	1
NCBITaxon:1027372	3
NCBITaxon:1027373	1
NCBITaxon:1027374	1
NCBITaxon:1027396	5
NCBITaxon:1027397	1
NCBITaxon:1027633	25
NCBITaxon:1027767	1
NCBITaxon:1028	1
NCBITaxon:1028307	2
NCBITaxon:1028381	5
NCBITaxon:1028490	1
NCBITaxon:1028566	1
NCBITaxon:1028567	1
NCBITaxon:102862	5
NCBITaxon:1028742	6
NCBITaxon:1028743	13
NCBITaxon:1028745	29
NCBITaxon:1028746	33
NCBITaxon:1028749	7
NCBITaxon:1028752	10
NCBITaxon:1028799	1
NCBITaxon:1028800	5
NCBITaxon:1028801	5
NCBITaxon:1028802	1
NCBITaxon:1028803	1
NCBITaxon:1028804	1
NCBITaxon:1028805	1
NCBITaxon:1028806	1
NCBITaxon:1028810	1
NCBITaxon:102884	15
NCBITaxon:102886	2
NCBITaxon:102891	5
NCBITaxon:102897	8
NCBITaxon:1029756	6
NCBITaxon:1029812	4
NCBITaxon:1029813	4
NCBITaxon:1029814	4
NCBITaxon:1029815	5
NCBITaxon:1029816	5
NCBITaxon:1029817	5
NCBITaxon:1029818	5
NCBITaxon:1029819	5
NCBITaxon:1029820	5
NCBITaxon:1029821	5
NCBITaxon:1029822	4
NCBITaxon:1029823	1
NCBITaxon:1029824	4
NCBITaxon:1029825	1
NCBITaxon:1029979	1
NCBITaxon:1029984	1
NCBITaxon:1029985	1
NCBITaxon:1029986	1
NCBITaxon:1029997	1
NCBITaxon:103	2
NCBITaxon:1030006	1
NCBITaxon:1030007	1
NCBITaxon:1030009	5
NCBITaxon:1030145	1
NCBITaxon:1030157	6
NCBITaxon:1030841	5
NCBITaxon:1030842	1
NCBITaxon:1030843	5
NCBITaxon:1031	2
NCBITaxon:1031224	23
NCBITaxon:1031273	7
NCBITaxon:1031535	4
NCBITaxon:1031536	4
NCBITaxon:1031537	18
NCBITaxon:1031538	5
NCBITaxon:1031541	16
NCBITaxon:1031542	7
NCBITaxon:1031564	4
NCBITaxon:1031594	10
NCBITaxon:1031709	5
NCBITaxon:1031710	2
NCBITaxon:1031711	4
NCBITaxon:1031733	4
NCBITaxon:1031739	1
NCBITaxon:1031746	2
NCBITaxon:1031752	2
NCBITaxon:1031753	1
NCBITaxon:1031754	4
NCBITaxon:1031920	1
NCBITaxon:1032066	4
NCBITaxon:1032067	4
NCBITaxon:1032069	1
NCBITaxon:1032070	3
NCBITaxon:1032071	3
NCBITaxon:1032072	2
NCBITaxon:1032238	1
NCBITaxon:1032239	2
NCBITaxon:1032240	2
NCBITaxon:1032241	4
NCBITaxon:1032242	4
NCBITaxon:1032243	4
NCBITaxon:103232	3
NCBITaxon:1032476	12
NCBITaxon:1032480	3
NCBITaxon:1032488	5
NCBITaxon:1032505	1
NCBITaxon:1032506	1
NCBITaxon:1032527	2
NCBITaxon:1032623	8
NCBITaxon:1032845	1
NCBITaxon:1032851	1
NCBITaxon:1032866	3
NCBITaxon:1032867	1
NCBITaxon:1032868	1
NCBITaxon:1032869	1
NCBITaxon:1033730	4
NCBITaxon:1033731	4
NCBITaxon:1033732	5
NCBITaxon:1033733	5
NCBITaxon:1033734	6
NCBITaxon:1033736	5
NCBITaxon:1033737	5
NCBITaxon:1033738	1
NCBITaxon:1033739	4
NCBITaxon:1033740	1
NCBITaxon:1033743	5
