strain_id	bacdive_id	designation	taxon_ids	lpsn_ids	culture_collection_ids	medium_count
kgmicrobe.strain:bacdive_34	34	S60-1	NCBITaxon:1307927	lpsn:773465	kgmicrobe.strain:CCM-7132|kgmicrobe.strain:CIP-107278|kgmicrobe.strain:DSM-15972|kgmicrobe.strain:IFO-16457|kgmicrobe.strain:IFO-now-NBRC-16457|kgmicrobe.strain:JCM-10715|kgmicrobe.strain:KCTC-12914|kgmicrobe.strain:MTCC-4042|kgmicrobe.strain:NBRC-16457|kgmicrobe.strain:NRIC-0323	0
kgmicrobe.strain:bacdive_35	35	T-6133	NCBITaxon:1236500	lpsn:789657	kgmicrobe.strain:DSM-23030|kgmicrobe.strain:JCM-15831	0
kgmicrobe.strain:bacdive_36	36	T-683	NCBITaxon:1236525	lpsn:789658	kgmicrobe.strain:DSM-23029|kgmicrobe.strain:JCM-25414	0
kgmicrobe.strain:bacdive_37	37	T-153	NCBITaxon:1236502	lpsn:789660	kgmicrobe.strain:DSM-23028|kgmicrobe.strain:JCM-25354	0
kgmicrobe.strain:bacdive_38	38	CP2C	NCBITaxon:1121106	lpsn:774009	kgmicrobe.strain:ATCC-BAA-1043|kgmicrobe.strain:CIP-109215|kgmicrobe.strain:DSM-16746	0
kgmicrobe.strain:bacdive_39	39		NCBITaxon:938405	lpsn:789708	kgmicrobe.strain:CGMCC-1.10758|kgmicrobe.strain:CPCC-100156|kgmicrobe.strain:DSM-23312	0
kgmicrobe.strain:bacdive_40	40	PA 5	NCBITaxon:272568	lpsn:776536	kgmicrobe.strain:ATCC-49037|kgmicrobe.strain:CCUG-37298|kgmicrobe.strain:CIP-103539|kgmicrobe.strain:DSM-5601|kgmicrobe.strain:LMG-7603	0
kgmicrobe.strain:bacdive_41	41		NCBITaxon:89584	lpsn:776542	kgmicrobe.strain:ATCC-14835|kgmicrobe.strain:BCRC-12950|kgmicrobe.strain:CCM-3621|kgmicrobe.strain:CCUG-18124|kgmicrobe.strain:CIP-103109|kgmicrobe.strain:DSM-5603|kgmicrobe.strain:IAM-1834|kgmicrobe.strain:IFO-12388|kgmicrobe.strain:JCM-17840|kgmicrobe.strain:LMG-1381|kgmicrobe.strain:LMG-1382|kgmicrobe.strain:NBRC-12388|kgmicrobe.strain:NCIMB-9136	0
kgmicrobe.strain:bacdive_42	42		NCBITaxon:1307940	lpsn:776545	kgmicrobe.strain:CIP-106693|kgmicrobe.strain:DSM-12717|kgmicrobe.strain:SRI-1794	0
kgmicrobe.strain:bacdive_43	43	CFN-Ca54, CFN-Ca54T	NCBITaxon:1307932	lpsn:776535	kgmicrobe.strain:ATCC-700988|kgmicrobe.strain:CIP-107161|kgmicrobe.strain:DSM-13594	0
kgmicrobe.strain:bacdive_44	44	CFN-Cf55, CFN-Cf55T	NCBITaxon:1307935	lpsn:776541	kgmicrobe.strain:ATCC-700987|kgmicrobe.strain:CIP-107160|kgmicrobe.strain:DSM-13595	0
kgmicrobe.strain:bacdive_45	45	G5-1	NCBITaxon:1234672	lpsn:791750	kgmicrobe.strain:BCRC-80743|kgmicrobe.strain:DSM-24098|kgmicrobe.strain:JCM-25156|kgmicrobe.strain:LMG-26206|kgmicrobe.strain:NRIC-0798	0
kgmicrobe.strain:bacdive_46	46		NCBITaxon:442	lpsn:776553	kgmicrobe.strain:ATCC-621H|kgmicrobe.strain:CIP-104215|kgmicrobe.strain:DSM-2343|kgmicrobe.strain:NCIB-8036|kgmicrobe.strain:NCIMB-8036	0
kgmicrobe.strain:bacdive_47	47	B 4099	NCBITaxon:1435296	lpsn:776553	kgmicrobe.strain:CN-1221|kgmicrobe.strain:DSM-2003	0
kgmicrobe.strain:bacdive_48	48	I, 1	NCBITaxon:442	lpsn:776553	kgmicrobe.strain:ATCC-19357|kgmicrobe.strain:CCM-3607|kgmicrobe.strain:CCUG-18132|kgmicrobe.strain:CIP-103106|kgmicrobe.strain:DSM-3503|kgmicrobe.strain:DSM-4494|kgmicrobe.strain:DSM-7145|kgmicrobe.strain:IAM-14436|kgmicrobe.strain:IFO-14819|kgmicrobe.strain:JCM-7642|kgmicrobe.strain:LMG-1408|kgmicrobe.strain:LMG-1589|kgmicrobe.strain:NBRC-14819|kgmicrobe.strain:NCIB-9013|kgmicrobe.strain:NCIMB-9013|kgmicrobe.strain:NRIC-1843	0
kgmicrobe.strain:bacdive_49	49		NCBITaxon:442	lpsn:776553	kgmicrobe.strain:ATCC-19357|kgmicrobe.strain:DSM-7145|kgmicrobe.strain:NCIB-9013	0
kgmicrobe.strain:bacdive_50	50		NCBITaxon:442	lpsn:776553	kgmicrobe.strain:ATCC-12303|kgmicrobe.strain:BUCSAV-350|kgmicrobe.strain:CCM-1804|kgmicrobe.strain:DSM-46615|kgmicrobe.strain:IFO-3262|kgmicrobe.strain:IMET-10509|kgmicrobe.strain:Kondo-32|kgmicrobe.strain:NBRC-3262	0
kgmicrobe.strain:bacdive_51	51	No 27, Porges 27	NCBITaxon:442	lpsn:776553	kgmicrobe.strain:ATCC-9844|kgmicrobe.strain:CCM-2371|kgmicrobe.strain:DSM-46616|kgmicrobe.strain:IAM-1818|kgmicrobe.strain:IMET-10510|kgmicrobe.strain:JCM-20280|kgmicrobe.strain:LBG-4093|kgmicrobe.strain:LMG-1387|kgmicrobe.strain:NCIMB-8086	0
kgmicrobe.strain:bacdive_52	52		NCBITaxon:442	lpsn:776553	kgmicrobe.strain:ATCC-23773|kgmicrobe.strain:ATCC-23774|kgmicrobe.strain:ATCC-33448|kgmicrobe.strain:ATCC-621|kgmicrobe.strain:BCRC-12581|kgmicrobe.strain:CCM-1783|kgmicrobe.strain:CCM-1787|kgmicrobe.strain:CCUG-18135|kgmicrobe.strain:CIP-104737|kgmicrobe.strain:CIP-53.162|kgmicrobe.strain:DSM-50049|kgmicrobe.strain:IAM-12137|kgmicrobe.strain:IFO-3130|kgmicrobe.strain:IFO-3172|kgmicrobe.strain:IMET-10507|kgmicrobe.strain:JCM-20429|kgmicrobe.strain:KCTC-2779|kgmicrobe.strain:LMG-1393|kgmicrobe.strain:LMG-1400|kgmicrobe.strain:LMG-1401|kgmicrobe.strain:LMG-1402|kgmicrobe.strain:LMG-1673|kgmicrobe.strain:NBRC-3130|kgmicrobe.strain:NCDO-2008|kgmicrobe.strain:NCIB-7069|kgmicrobe.strain:NCIMB-6723|kgmicrobe.strain:NCIMB-7069|kgmicrobe.strain:NCTC-621|kgmicrobe.strain:NCTC-6723|kgmicrobe.strain:NCTC-7069|kgmicrobe.strain:NRRL-B-72	0
kgmicrobe.strain:bacdive_53	53	40	NCBITaxon:38308	lpsn:776551	kgmicrobe.strain:ATCC-49207|kgmicrobe.strain:CIP-104735|kgmicrobe.strain:DSM-7146|kgmicrobe.strain:IFO-3264|kgmicrobe.strain:NBRC-3264	0
kgmicrobe.strain:bacdive_54	54		NCBITaxon:1876758		kgmicrobe.strain:ATCC-15163|kgmicrobe.strain:DSM-3504|kgmicrobe.strain:IAM-1820|kgmicrobe.strain:IFO-3292|kgmicrobe.strain:JCM-20281|kgmicrobe.strain:LMG-1384|kgmicrobe.strain:NBRC-3292	0
kgmicrobe.strain:bacdive_55	55		NCBITaxon:38307	lpsn:776550	kgmicrobe.strain:ATCC-49206|kgmicrobe.strain:CIP-104733|kgmicrobe.strain:DSM-7148|kgmicrobe.strain:IAM-14721|kgmicrobe.strain:IFO-3276|kgmicrobe.strain:JCM-21279|kgmicrobe.strain:LMG-1390|kgmicrobe.strain:NBRC-3276|kgmicrobe.strain:NCIMB-13199	0
kgmicrobe.strain:bacdive_56	56		NCBITaxon:1307945	lpsn:776550	kgmicrobe.strain:ATCC-19441|kgmicrobe.strain:BCRC-16009|kgmicrobe.strain:CCM-1806|kgmicrobe.strain:CIP-103150|kgmicrobe.strain:DSM-9533|kgmicrobe.strain:DSM-9534|kgmicrobe.strain:IFO-3267|kgmicrobe.strain:JCM-25108|kgmicrobe.strain:LMG-1361|kgmicrobe.strain:LMG-1368|kgmicrobe.strain:NBRC-3267|kgmicrobe.strain:NRIC-0229|kgmicrobe.strain:NRRL-B-4241|kgmicrobe.strain:VTT-E-011791	0
kgmicrobe.strain:bacdive_57	57		NCBITaxon:38307	lpsn:776550	kgmicrobe.strain:ATCC-19441|kgmicrobe.strain:DSM-9534|kgmicrobe.strain:IFO-3267|kgmicrobe.strain:LMG-1368t1	0
kgmicrobe.strain:bacdive_58	58	YO-3	NCBITaxon:1307929	lpsn:777204	kgmicrobe.strain:CCM-7137|kgmicrobe.strain:CCUG-48823|kgmicrobe.strain:DSM-14400|kgmicrobe.strain:IFO-16664|kgmicrobe.strain:JCM-11301|kgmicrobe.strain:NBRC-16664|kgmicrobe.strain:NCIMB-14242|kgmicrobe.strain:NRIC-0488	0
