taxon_id	label	rank	parent_id	genetic_code	exact_synonyms	related_synonyms	broad_synonyms	attested_by
NCBITaxon:3031406	Isoptericola croceus	SPECIES	NCBITaxon:254250	11				lpsn|gold
NCBITaxon:3031418	Bdellovibrionia	CLASS	NCBITaxon:3018035	11				
NCBITaxon:3031419	Bacteriovoracia	CLASS	NCBITaxon:3018035	11				
NCBITaxon:3031449	Desulfovibrionia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031450	Candidatus Desulfofervidia	CLASS	NCBITaxon:200940	11	Desulfofervidia			
NCBITaxon:3031451	Desulfobulbia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031452	Dissulfuribacteria	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031453	Dissulfuribacterales	ORDER	NCBITaxon:3031452	11				
NCBITaxon:3031458	Desulfoplanaceae	FAMILY	NCBITaxon:213115	11				
NCBITaxon:3031459	Desulfonatronovibrionaceae	FAMILY	NCBITaxon:213115	11				
NCBITaxon:3031460	Candidatus Desulfofervidales	ORDER	NCBITaxon:3031450	11	Desulfofervidales			
NCBITaxon:3031464	Thermodesulfatatoraceae	FAMILY	NCBITaxon:188710	11				
NCBITaxon:3031471	Dissulfuribacteraceae	FAMILY	NCBITaxon:3031453	11		Dissulfurirhabdaceae		
NCBITaxon:3031622	Desulfolunaceae	FAMILY	NCBITaxon:213118	11				
NCBITaxon:3031623	Desulforegulaceae	FAMILY	NCBITaxon:213118	11				
NCBITaxon:3031624	Desulfosarcinaceae	FAMILY	NCBITaxon:213118	11				gold
NCBITaxon:3031625	Desulfatirhabdiaceae	FAMILY	NCBITaxon:213118	11				
NCBITaxon:3031627	Desulfatibacillaceae	FAMILY	NCBITaxon:213118	11				
NCBITaxon:3031641	Thermodesulforhabdaceae	FAMILY	NCBITaxon:213462	11				
NCBITaxon:3031646	Desulfarculia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031647	Desulfobaccia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031648	Syntrophia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031649	Syntrophorhabdia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031650	Desulfomonilia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031651	Desulfuromonadia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031652	Deferrisomatia	CLASS	NCBITaxon:200940	11				
NCBITaxon:3031653	Candidatus Adiutricales	ORDER	NCBITaxon:3031646	11	Adiutricales			
NCBITaxon:3031654	Candidatus Adiutricaceae	FAMILY	NCBITaxon:3031653	11	Adiutricaceae			
NCBITaxon:3031655	Desulfobaccales	ORDER	NCBITaxon:3031647	11				
NCBITaxon:3031656	Desulfobaccaceae	FAMILY	NCBITaxon:3031655	11				
NCBITaxon:3031657	Desulfomonilales	ORDER	NCBITaxon:3031650	11				
NCBITaxon:3031658	Desulfomonilaceae	FAMILY	NCBITaxon:3031657	11				
NCBITaxon:3031659	Geopsychrobacteraceae	FAMILY	NCBITaxon:69541	11				
NCBITaxon:3031663	Trichloromonadaceae	FAMILY	NCBITaxon:69541	11				
NCBITaxon:3031664	Geothermobacteraceae	FAMILY	NCBITaxon:69541	11				
NCBITaxon:3031665	Geoalkalibacteraceae	FAMILY	NCBITaxon:69541	11				
NCBITaxon:3031666	Trichloromonas	GENUS	NCBITaxon:3031663	11				lpsn
NCBITaxon:3031668	Geobacterales	ORDER	NCBITaxon:3031651	11				
NCBITaxon:3031670	Deferrisomataceae	FAMILY	NCBITaxon:2814222	11				
NCBITaxon:3031711	Polyangia	SUBCLASS	NCBITaxon:2818505	11				
NCBITaxon:3031712	Polyangiales	ORDER	NCBITaxon:3031711	11				
NCBITaxon:3031713	Nannocystales	ORDER	NCBITaxon:3031711	11				
NCBITaxon:3031714	Haliangiales	ORDER	NCBITaxon:3031711	11				
NCBITaxon:3031727	Halomonas piscis	SPECIES	NCBITaxon:2745	11				bacdive|lpsn|gold
NCBITaxon:3031728	Luteipulveratus flavus	SPECIES	NCBITaxon:745364	11				bacdive|lpsn|gold
NCBITaxon:3031799	Providencia hangzhouensis	SPECIES	NCBITaxon:586	11				lpsn|gold
NCBITaxon:3031815	Marinimicrococcus flavescens	SPECIES	NCBITaxon:3117352	11				bacdive|lpsn|gold
NCBITaxon:3031816	Rosenbergiella sp. D21B	SPECIES	NCBITaxon:2649256	11				gold
NCBITaxon:3031852	Epsilonproteobacteria	CLASS	NCBITaxon:29547	11				
NCBITaxon:3031853	Desulfurellia	CLASS	NCBITaxon:29547	11				
NCBITaxon:3031916	Halobaculum limi	SPECIES	NCBITaxon:43927	11				bacdive|lpsn|gold
NCBITaxon:3031921	Binariimonas	GENUS	NCBITaxon:41297	11				lpsn
NCBITaxon:3031927	Govanellaceae	FAMILY	NCBITaxon:2066490	11		"""Govanellaceae"" Vandamme et al. 2025"		
