sample_id	reason
biosample:SAMEA104167208	assembly_unavailable
biosample:SAMEA104167209	assembly_unavailable
biosample:SAMEA104167217	assembly_unavailable
biosample:SAMEA104167218	assembly_unavailable
biosample:SAMEA104167224	assembly_unavailable
biosample:SAMEA104167228	assembly_unavailable
biosample:SAMEA104167233	assembly_unavailable
biosample:SAMEA104200667	assembly_unavailable
biosample:SAMEA104200670	assembly_unavailable
biosample:SAMEA104200671	assembly_unavailable
biosample:SAMEA104200672	assembly_unavailable
biosample:SAMEA104200674	assembly_unavailable
biosample:SAMEA104200680	assembly_unavailable
biosample:SAMEA104200682	assembly_unavailable
biosample:SAMEA104210758	assembly_unavailable
biosample:SAMEA104210761	assembly_unavailable
biosample:SAMEA104210778	assembly_unavailable
biosample:SAMEA104210788	assembly_unavailable
biosample:SAMEA104210789	assembly_unavailable
biosample:SAMEA104210790	assembly_unavailable
biosample:SAMEA104210799	assembly_unavailable
biosample:SAMEA104210806	assembly_unavailable
biosample:SAMEA104210807	assembly_unavailable
biosample:SAMEA104224774	assembly_unavailable
biosample:SAMEA104224778	assembly_unavailable
biosample:SAMEA104224787	assembly_unavailable
biosample:SAMEA104224789	assembly_unavailable
biosample:SAMEA104224792	assembly_unavailable
biosample:SAMEA104224794	assembly_unavailable
biosample:SAMEA104224796	assembly_unavailable
biosample:SAMEA104224806	assembly_unavailable
biosample:SAMEA104281628	assembly_unavailable
biosample:SAMEA104281629	assembly_unavailable
biosample:SAMEA104281631	assembly_unavailable
biosample:SAMEA104281632	assembly_unavailable
biosample:SAMEA104281633	assembly_unavailable
biosample:SAMEA104281634	assembly_unavailable
biosample:SAMEA104281642	assembly_unavailable
biosample:SAMEA104281645	assembly_unavailable
biosample:SAMEA104307683	assembly_unavailable
biosample:SAMEA104307685	assembly_unavailable
biosample:SAMEA104307686	assembly_unavailable
biosample:SAMEA104318175	assembly_unavailable
biosample:SAMEA104318176	assembly_unavailable
biosample:SAMEA104338354	assembly_unavailable
biosample:SAMEA104338376	assembly_unavailable
biosample:SAMEA104338385	assembly_unavailable
biosample:SAMEA104338389	assembly_unavailable
biosample:SAMEA104338399	assembly_unavailable
biosample:SAMEA104338429	assembly_unavailable
biosample:SAMEA110386553	metadata_identity_flags:RUN_REMOVED
biosample:SAMEA115133705	assembly_unavailable
biosample:SAMEA14251711	assembly_unavailable
biosample:SAMEA24550918	assembly_unavailable
biosample:SAMEA24551668	assembly_unavailable
biosample:SAMEA24552418	assembly_unavailable
biosample:SAMEA24553168	assembly_unavailable
biosample:SAMEA24553918	assembly_unavailable
biosample:SAMEA24554668	assembly_unavailable
biosample:SAMEA24556168	assembly_unavailable
biosample:SAMEA2479569	assembly_unavailable
biosample:SAMEA2498479	assembly_unavailable
biosample:SAMEA2548136	assembly_unavailable
biosample:SAMEA2548138	assembly_unavailable
biosample:SAMEA2548139	assembly_unavailable
biosample:SAMEA2548140	assembly_unavailable
biosample:SAMEA2548141	assembly_unavailable
biosample:SAMEA2548142	assembly_unavailable
biosample:SAMEA2548143	assembly_unavailable
biosample:SAMEA2548144	assembly_unavailable
biosample:SAMEA2548145	assembly_unavailable
biosample:SAMEA2548146	assembly_unavailable
biosample:SAMEA2548147	assembly_unavailable
biosample:SAMEA2548148	assembly_unavailable
biosample:SAMEA2548150	assembly_unavailable
biosample:SAMEA2580311	assembly_unavailable
biosample:SAMEA2580313	assembly_unavailable
biosample:SAMEA2580314	assembly_unavailable
biosample:SAMEA2580315	assembly_unavailable
biosample:SAMEA2580317	assembly_unavailable
biosample:SAMEA2580318	assembly_unavailable
biosample:SAMEA2580320	assembly_unavailable
biosample:SAMEA2580321	assembly_unavailable
biosample:SAMEA2580322	assembly_unavailable
biosample:SAMEA2612490	assembly_unavailable
biosample:SAMEA2612491	assembly_unavailable
biosample:SAMEA2612492	assembly_unavailable
biosample:SAMEA2612493	assembly_unavailable
biosample:SAMEA2612494	assembly_unavailable
biosample:SAMEA2612495	assembly_unavailable
biosample:SAMEA2612496	assembly_unavailable
biosample:SAMEA2612497	assembly_unavailable
biosample:SAMEA2612498	assembly_unavailable
biosample:SAMEA2612499	assembly_unavailable
biosample:SAMEA2612501	assembly_unavailable
biosample:SAMEA26386168	assembly_unavailable
biosample:SAMEA26389918	assembly_unavailable
biosample:SAMEA26396668	assembly_unavailable
biosample:SAMEA26397418	assembly_unavailable
biosample:SAMEA26403418	assembly_unavailable
biosample:SAMEA26407168	assembly_unavailable
biosample:SAMEA2665114	assembly_unavailable
biosample:SAMEA2665116	assembly_unavailable
biosample:SAMEA2665117	assembly_unavailable
biosample:SAMEA2665118	assembly_unavailable
biosample:SAMEA2665123	assembly_unavailable
biosample:SAMEA2665124	assembly_unavailable
biosample:SAMEA2665125	assembly_unavailable
biosample:SAMEA2665126	assembly_unavailable
biosample:SAMEA2665129	assembly_unavailable
biosample:SAMEA2665130	assembly_unavailable
biosample:SAMEA2665131	assembly_unavailable
biosample:SAMEA2665132	assembly_unavailable
biosample:SAMEA2665134	assembly_unavailable
biosample:SAMEA2665135	assembly_unavailable
biosample:SAMEA2665136	assembly_unavailable
biosample:SAMEA2665137	assembly_unavailable
biosample:SAMEA2665138	assembly_unavailable
biosample:SAMEA2689778	assembly_unavailable
biosample:SAMEA2689782	assembly_unavailable
biosample:SAMEA2709014	assembly_unavailable
biosample:SAMEA2742606	assembly_unavailable
biosample:SAMEA2822162	assembly_unavailable
biosample:SAMEA2822163	assembly_unavailable
biosample:SAMEA2822167	assembly_unavailable
biosample:SAMEA3111974	assembly_unavailable
biosample:SAMEA3111975	assembly_unavailable
biosample:SAMEA3111976	assembly_unavailable
biosample:SAMEA3111977	assembly_unavailable
biosample:SAMEA3121333	assembly_unavailable
biosample:SAMEA3121335	assembly_unavailable
biosample:SAMEA3121336	assembly_unavailable
biosample:SAMEA3146526	assembly_unavailable
biosample:SAMEA3146533	assembly_unavailable
biosample:SAMEA3146534	assembly_unavailable
biosample:SAMEA3178013	assembly_unavailable
biosample:SAMEA3182910	assembly_unavailable
biosample:SAMEA3182911	assembly_unavailable
biosample:SAMEA3207621	assembly_unavailable
biosample:SAMEA3207624	assembly_unavailable
biosample:SAMEA3221102	assembly_unavailable
biosample:SAMEA3221103	assembly_unavailable
biosample:SAMEA3222069	assembly_unavailable
biosample:SAMEA3222077	assembly_unavailable
biosample:SAMEA3222085	assembly_unavailable
biosample:SAMEA3233544	assembly_unavailable
biosample:SAMEA3233545	assembly_unavailable
biosample:SAMEA3233547	assembly_unavailable
biosample:SAMEA3251426	assembly_unavailable
biosample:SAMEA3282964	assembly_unavailable
biosample:SAMEA3282965	assembly_unavailable
biosample:SAMEA3282972	assembly_unavailable
biosample:SAMEA3307890	assembly_unavailable
biosample:SAMEA3340404	assembly_unavailable
biosample:SAMEA3368254	assembly_unavailable
biosample:SAMEA3368259	assembly_unavailable
biosample:SAMEA3368262	assembly_unavailable
biosample:SAMEA3400772	assembly_unavailable
biosample:SAMEA3400773	assembly_unavailable
biosample:SAMEA3400783	assembly_unavailable
